phase_id,anchor,s,local_line_distance_m,geodesic_plus_height_m,difference_m,absolute_relative_difference,loss_difference_db
IV-PH-0012,Q3-R-004,0.0,5209.67383011785,5209.43272380445,0.24110631340045074,4.6282642695185965e-05,0.0004019966239475446
IV-PH-0012,G01,0.5,52.67830505371097,52.67830505371097,0.0,0.0,0.0
IV-PH-0012,Q3-R-001,0.5,2637.25631918887,2637.1695616339816,0.08675755488820869,3.289798128659349e-05,0.000285743534604403
IV-PH-0012,Q3-R-002,0.5,4714.006791659601,4714.024179052679,-0.017387393078024616,3.688439519527189e-06,-3.2037437686976016e-05
IV-PH-0012,Q3-R-003,0.5,5817.102814321131,5817.114175698085,-0.011361376954482694,1.953095059049493e-06,-1.696438470178949e-05
IV-PH-0012,Q3-R-004,0.5,5203.234740298889,5202.993335598568,0.2414047003212545,4.639727263719099e-05,0.00040299224083598204
IV-PH-0012,G01,1.0,125.35661010742189,125.35661010742189,0.0,0.0,0.0
IV-PH-0012,Q3-R-001,1.0,2634.0744053308085,2633.987542970922,0.08686235988670887,3.29775135491853e-05,0.00028643432030668354
IV-PH-0012,Q3-R-002,1.0,4708.598868326735,4708.61627568952,-0.01740736278497934,3.6969168362376785e-06,-3.2111070996488776e-05
IV-PH-0012,Q3-R-003,1.0,5815.419662691138,5815.4310273564,-0.011364665261680784,1.9542257845068067e-06,-1.6974206077995902e-05
IV-PH-0012,Q3-R-004,1.0,5197.803996029734,5197.562339094408,0.241656935325409,4.649428319651743e-05,0.00040383482471387585
IV-PH-0013,G01,0.0,125.35661010742189,125.35661010742189,0.0,0.0,0.0
IV-PH-0013,Q3-R-001,0.0,2634.0744053308085,2633.987542970922,0.08686235988670887,3.29775135491853e-05,0.00028643432030668354
IV-PH-0013,Q3-R-002,0.0,4708.598868326735,4708.61627568952,-0.01740736278497934,3.6969168362376785e-06,-3.2111070996488776e-05
IV-PH-0013,Q3-R-003,0.0,5815.419662691138,5815.4310273564,-0.011364665261680784,1.9542257845068067e-06,-1.6974206077995902e-05
IV-PH-0013,Q3-R-004,0.0,5197.803996029734,5197.562339094408,0.241656935325409,4.649428319651743e-05,0.00040383482471387585
IV-PH-0013,G01,0.5,1532.1485987047301,1532.137447241365,0.011151463365195013,7.278370087013655e-06,6.321888925634013e-05
IV-PH-0013,Q3-R-001,0.5,2887.3100357359526,2887.0456382039274,0.2643975320252139,9.158065550695602e-05,0.0007954230445881567
IV-PH-0013,Q3-R-002,0.5,4341.913851199035,4341.7526921219005,0.16115907713447086,3.7118437774425434e-05,0.0003224006705775242
IV-PH-0013,Q3-R-003,0.5,4409.379791708463,4409.396565830299,-0.0167741218356241,3.804176282444557e-06,-3.30427182031272e-05
IV-PH-0013,Q3-R-004,0.5,4643.895986029485,4643.358264882265,0.537721147220509,0.00011580436325305674,0.0010058056816025021
IV-PH-0013,G01,1.0,3056.5952422518126,3056.5505159176114,0.044726334201186546,1.4632944545907231e-05,0.00012709921148954518
IV-PH-0013,Q3-R-001,1.0,3794.509271267316,3794.0600658640615,0.44920540325438196,0.00011839701940830493,0.001028322570093867
IV-PH-0013,Q3-R-002,1.0,4494.113769953812,4493.884608506524,0.22916144728787913,5.099406576975672e-05,0.000442917534485791
IV-PH-0013,Q3-R-003,1.0,3119.244225685461,3119.2018220544123,0.04240363104872813,1.3594385188195248e-05,0.00011807852684155793
IV-PH-0013,Q3-R-004,1.0,4558.278575801447,4557.330699261254,0.9478765401927376,0.00020798941370359385,0.0018063852453234386
IV-PH-0014,G01,0.0,3056.5952422518126,3056.5505159176114,0.044726334201186546,1.4632944545907231e-05,0.00012709921148954518
IV-PH-0014,Q3-R-001,0.0,3794.509271267316,3794.0600658640615,0.44920540325438196,0.00011839701940830493,0.001028322570093867
IV-PH-0014,Q3-R-002,0.0,4494.113769953812,4493.884608506524,0.22916144728787913,5.099406576975672e-05,0.000442917534485791
IV-PH-0014,Q3-R-003,0.0,3119.244225685461,3119.2018220544123,0.04240363104872813,1.3594385188195248e-05,0.00011807852684155793
IV-PH-0014,Q3-R-004,0.0,4558.278575801447,4557.330699261254,0.9478765401927376,0.00020798941370359385,0.0018063852453234386
IV-PH-0014,G01,0.5,3055.093028069137,3055.04827974231,0.044748326826720586,1.4647338676590426e-05,0.00012722423549053403
IV-PH-0014,Q3-R-001,0.5,3795.6980274534785,3795.2489627513264,0.4490647021520999,0.00011832285748826214,0.0010276784840759158
IV-PH-0014,Q3-R-002,0.5,4497.446509602771,4497.21751797948,0.22899162329031242,5.091851180753967e-05,0.00044226131454695576
IV-PH-0014,Q3-R-003,0.5,3120.9656916319786,3120.9233113902924,0.04238024168625998,1.3579392204732084e-05,0.00011794830121070716
IV-PH-0014,Q3-R-004,0.5,4561.935705454988,4560.988588949077,0.9471165059112536,0.0002076559691918642,0.0018034895848776486
IV-PH-0014,G01,1.0,3054.2393300556505,3054.194569220925,0.044760834725366294,1.4655528228767707e-05,0.0001272953679944796
