check,pass,detail
figure_source_F028results/q1/route_geometry.csv,True,
Chinese_title_F029,True,
figure_F029.png,True,
figure_F029.svg,True,
figure_F029.pdf,True,
figure_source_F029results/closure/energy_curves_S008.csv,True,
Chinese_title_F030,True,
figure_F030.png,True,
figure_F030.svg,True,
figure_F030.pdf,True,
figure_source_F030results/q1/route_dem_cells.csv,True,
figure_source_F030results/q1/route_geometry.csv,True,
Chinese_title_F031,True,
figure_F031.png,True,
figure_F031.svg,True,
figure_F031.pdf,True,
figure_source_F031results/closure/energy_curves_S009.csv,True,
Chinese_title_F032,True,
figure_F032.png,True,
figure_F032.svg,True,
figure_F032.pdf,True,
figure_source_F032results/q1/route_dem_cells.csv,True,
figure_source_F032results/q1/route_geometry.csv,True,
Chinese_title_F033,True,
figure_F033.png,True,
figure_F033.svg,True,
figure_F033.pdf,True,
figure_source_F033results/closure/energy_curves_S010.csv,True,
Chinese_title_F034,True,
figure_F034.png,True,
figure_F034.svg,True,
figure_F034.pdf,True,
figure_source_F034results/q1/route_dem_cells.csv,True,
figure_source_F034results/q1/route_geometry.csv,True,
Chinese_title_F035,True,
figure_F035.png,True,
figure_F035.svg,True,
figure_F035.pdf,True,
figure_source_F035results/closure/energy_curves_S011.csv,True,
Chinese_title_F036,True,
figure_F036.png,True,
figure_F036.svg,True,
figure_F036.pdf,True,
figure_source_F036results/q1/route_dem_cells.csv,True,
figure_source_F036results/q1/route_geometry.csv,True,
Chinese_title_F037,True,
figure_F037.png,True,
figure_F037.svg,True,
figure_F037.pdf,True,
figure_source_F037results/closure/energy_curves_S012.csv,True,
Chinese_title_F038,True,
figure_F038.png,True,
figure_F038.svg,True,
figure_F038.pdf,True,
figure_source_F038results/q1/route_dem_cells.csv,True,
figure_source_F038results/q1/route_geometry.csv,True,
Chinese_title_F039,True,
figure_F039.png,True,
figure_F039.svg,True,
figure_F039.pdf,True,
figure_source_F039results/closure/energy_curves_S013.csv,True,
Chinese_title_F040,True,
figure_F040.png,True,
figure_F040.svg,True,
figure_F040.pdf,True,
figure_source_F040results/q1/route_dem_cells.csv,True,
figure_source_F040results/q1/route_geometry.csv,True,
Chinese_title_F041,True,
