site_id,row,col,lon,lat,alt,agl,ground,route_H,gateway_distance,backhaul_margin,covered_search_points,travel_score_s
GRID-918-798,918,798,109.25444444444445,22.96972222222222,468.7345275878906,300.0,168.73452758789062,562.4475708007812,4929.745148675499,2.071188228079805,28,910.9021027905222
GRID-918-802,918,802,109.25555555555556,22.96972222222222,492.2327117919922,300.0,192.2327117919922,565.1632080078125,4986.6342650393635,1.9692454880850647,35,920.0714400098058
GRID-918-806,918,806,109.25666666666667,22.96972222222222,445.68992614746094,300.0,145.68992614746094,555.115478515625,5045.454615882555,1.8729711680751961,24,922.0529779184552
GRID-918-810,918,810,109.25777777777779,22.96972222222222,474.0240173339844,300.0,174.02401733398438,560.3358154296875,5106.1394608689925,1.766566306161252,38,933.1894871165167
GRID-918-814,918,814,109.25888888888889,22.96972222222222,498.6067657470703,300.0,198.6067657470703,564.0307006835938,5168.623127289993,1.6586732775441249,42,943.6759923707621
GRID-918-818,918,818,109.26,22.96972222222222,474.42832946777344,300.0,174.42832946777344,566.0397338867188,5232.84117810377,1.5545147658329057,40,953.4103351810886
GRID-918-822,918,822,109.26111111111112,22.96972222222222,458.8778991699219,300.0,158.87789916992188,562.445068359375,5298.730553981916,1.447795949112006,37,960.0986970738909
GRID-918-826,918,826,109.26222222222222,22.96972222222222,502.87977600097656,300.0,202.87977600097656,556.1244506835938,5366.229691060673,1.3338359253529433,38,965.411555040186
GRID-918-830,918,830,109.26333333333334,22.96972222222222,510.38758850097656,300.0,210.38758850097656,550.6286010742188,5435.278616209232,1.2224945329490282,38,971.4121661211918
GRID-918-834,918,834,109.26444444444445,22.96972222222222,494.83897399902344,300.0,194.83897399902344,547.8034973144531,5505.819021674553,1.1125771433387257,37,979.1695763233714
GRID-918-838,918,838,109.26555555555557,22.96972222222222,519.6800537109375,300.0,219.6800537109375,533.8014221191406,5577.7943210561525,0.9977429042940713,37,980.5984057103191
GRID-918-842,918,842,109.26666666666667,22.96972222222222,527.971923828125,300.0,227.971923828125,549.6612854003906,5651.149688471422,0.8839272712203723,36,999.6307082797508
GRID-918-846,918,846,109.26777777777778,22.96972222222222,519.1334228515625,300.0,219.1334228515625,549.8315124511719,5725.832082753012,0.7712940185627275,33,1009.6876599635852
GRID-918-850,918,850,109.2688888888889,22.96972222222222,491.60987854003906,300.0,191.60987854003906,538.3357238769531,5801.7902584544645,0.6598485209287475,32,1013.1095400554846
GRID-918-854,918,854,109.27000000000001,22.96972222222222,500.414794921875,300.0,200.414794921875,546.1428833007812,5878.9747653047225,0.5447036641207603,32,1027.9549839660854
GRID-918-858,918,858,109.27111111111111,22.96972222222222,514.2541198730469,281.4676055908203,232.78651428222656,514.2541198730469,5957.337937685779,0.4289017096334078,32,1019.8016282840479
GRID-918-862,918,862,109.27222222222223,22.96972222222222,519.2008666992188,270.40985107421875,248.791015625,519.2008666992188,6036.833875565791,0.31377415864577074,32,1033.2866889833163
GRID-922-730,922,730,109.23555555555556,22.96861111111111,461.88914489746094,300.0,161.88914489746094,481.8957824707031,4444.744979197612,2.9671850290924624,7,799.2468703342585
GRID-922-734,922,734,109.23666666666668,22.96861111111111,457.8326416015625,300.0,157.8326416015625,485.24261474609375,4458.54519587174,2.940950471212645,3,803.0392180514533
GRID-922-758,922,758,109.24333333333334,22.96861111111111,427.2599868774414,300.0,127.2599868774414,508.1679382324219,4600.100994537937,2.6744958436929664,2,835.2864299073044
GRID-922-790,922,790,109.25222222222223,22.96861111111111,414.75965118408203,300.0,114.75965118408203,559.7691040039062,4931.963848681046,2.0728958205225183,11,909.6354904930848
GRID-922-794,922,794,109.25333333333334,22.96861111111111,441.1678771972656,300.0,141.16787719726562,554.6327209472656,4983.62235777191,1.9800939322385176,18,913.527068255493
GRID-922-798,922,798,109.25444444444445,22.96861111111111,443.666015625,300.0,143.666015625,558.576171875,5037.3279963355735,1.8870805614782569,24,922.9881664384931
GRID-922-802,922,802,109.25555555555556,22.96861111111111,451.67958068847656,300.0,151.67958068847656,565.8513793945312,5093.016004099908,1.7911287368555264,26,934.6571051934643
GRID-922-806,922,806,109.25666666666667,22.96861111111111,440.35533142089844,300.0,140.35533142089844,563.6441650390625,5150.622081933827,1.694902899516535,23,941.0503738639633
GRID-922-810,922,810,109.25777777777779,22.96861111111111,472.8626251220703,300.0,172.8626251220703,554.7582702636719,5210.082607915101,1.5923410911429556,38,943.795005375822
GRID-922-814,922,814,109.25888888888889,22.96861111111111,459.88250732421875,300.0,159.88250732421875,561.4052734375,5271.334828024798,1.4925204641486118,39,955.8393865751814
GRID-922-818,922,818,109.26,22.96861111111111,466.739990234375,300.0,166.739990234375,564.0307006835938,5334.317022302892,1.389075357905341,39,965.7685117058153
GRID-922-822,922,822,109.26111111111112,22.96861111111111,439.3860168457031,300.0,139.38601684570312,566.0397338867188,5398.9686475383405,1.2873066938131217,29,975.5606644390313
GRID-922-826,922,826,109.26222222222222,22.96861111111111,451.5395050048828,300.0,151.5395050048828,561.7598571777344,5465.230457822909,1.18062940527561,34,981.8989777300662
GRID-922-830,922,830,109.26333333333334,22.96861111111111,465.3008117675781,300.0,165.30081176757812,556.0582580566406,5533.044604416153,1.0726527789104239,37,987.6149311218608
GRID-922-834,922,834,109.26444444444445,22.96861111111111,466.03514099121094,300.0,166.03514099121094,550.6286010742188,5602.354716461327,0.9648307781219501,36,993.6889794881379
GRID-922-838,922,838,109.26555555555557,22.96861111111111,478.2068176269531,300.0,178.20681762695312,544.2349243164062,5673.105964186044,0.8551290375392,35,999.3928344093761
GRID-922-842,922,842,109.26666666666667,22.96861111111111,474.62030029296875,300.0,174.62030029296875,533.8014221191406,5745.245106161304,0.7460712107508982,34,1002.9251770576725
GRID-922-846,922,846,109.26777777777778,22.96861111111111,488.05897521972656,300.0,188.05897521972656,549.6612854003906,5818.720522245702,0.6349168697885545,33,1021.9734861163215
