from_id,to_id,distance_m,terrain_max_m,cruise_altitude_m,origin_work_altitude_m,destination_work_altitude_m,climb_m,descent_m,crossed_cells
S015,S006,4684.460846069296,601.2601318359375,651.2601318359375,474.5,314.8,176.7601318359375,336.4601318359375,177
S007,S008,5911.482676796894,606.739501953125,656.739501953125,348.5,270.9,308.239501953125,385.839501953125,253
S008,S007,5911.482676796894,606.739501953125,656.739501953125,270.9,348.5,385.839501953125,308.239501953125,253
S007,S009,6907.712077058184,418.3708190917969,468.3708190917969,348.5,230.0,119.87081909179688,238.37081909179688,315
S009,S007,6907.712077058184,418.3708190917969,468.3708190917969,230.0,348.5,238.37081909179688,119.87081909179688,315
S007,S010,8599.961836810178,386.94964599609375,436.94964599609375,348.5,351.6,88.44964599609375,85.34964599609373,337
S010,S007,8599.961836810178,386.94964599609375,436.94964599609375,351.6,348.5,85.34964599609373,88.44964599609375,337
S007,S011,2834.0284765525307,389.17535400390625,439.17535400390625,348.5,212.1,90.67535400390625,227.07535400390626,109
S011,S007,2834.0284765525307,389.17535400390625,439.17535400390625,212.1,348.5,227.07535400390626,90.67535400390625,109
S007,S012,9663.23804387767,407.66363525390625,457.66363525390625,348.5,279.8,109.16363525390625,177.86363525390624,416
S012,S007,9663.23804387767,407.66363525390625,457.66363525390625,279.8,348.5,177.86363525390624,109.16363525390625,416
S007,S013,8054.988669632028,382.5381164550781,432.5381164550781,348.5,351.7,84.03811645507812,80.83811645507814,290
S013,S007,8054.988669632028,382.5381164550781,432.5381164550781,351.7,348.5,80.83811645507814,84.03811645507812,290
S007,S014,9684.060958724449,530.8557739257812,580.8557739257812,348.5,351.0,232.35577392578125,229.85577392578125,415
S014,S007,9684.060958724449,530.8557739257812,580.8557739257812,351.0,348.5,229.85577392578125,232.35577392578125,415
S007,S015,2219.35943191298,452.918212890625,502.918212890625,348.5,474.5,154.418212890625,28.418212890625,74
S015,S007,2219.35943191298,452.918212890625,502.918212890625,474.5,348.5,28.418212890625,154.418212890625,74
S008,S009,5018.270497488953,338.620361328125,388.620361328125,270.9,230.0,117.72036132812502,158.620361328125,237
S009,S008,5018.270497488953,338.620361328125,388.620361328125,230.0,270.9,158.620361328125,117.72036132812502,237
S008,S010,9292.964894445968,419.0903015136719,469.0903015136719,270.9,351.6,198.1903015136719,117.49030151367185,445
S010,S008,9292.964894445968,419.0903015136719,469.0903015136719,351.6,270.9,117.49030151367185,198.1903015136719,445
S008,S011,5327.212076078428,362.91650390625,412.91650390625,270.9,212.1,142.01650390625002,200.81650390625,199
S011,S008,5327.212076078428,362.91650390625,412.91650390625,212.1,270.9,200.81650390625,142.01650390625002,199
S008,S012,7727.832257164402,309.1531982421875,359.1531982421875,270.9,279.8,88.25319824218752,79.35319824218749,344
S012,S008,7727.832257164402,309.1531982421875,359.1531982421875,279.8,270.9,79.35319824218749,88.25319824218752,344
S008,S013,8054.017465865163,336.37310791015625,386.37310791015625,270.9,351.7,115.47310791015627,34.67310791015626,386
S013,S008,8054.017465865163,336.37310791015625,386.37310791015625,351.7,270.9,34.67310791015626,115.47310791015627,386
S008,S014,10974.33485420551,542.4922485351562,592.4922485351562,270.9,351.0,321.5922485351563,241.49224853515625,523
S014,S008,10974.33485420551,542.4922485351562,592.4922485351562,351.0,270.9,241.49224853515625,321.5922485351563,523
