from_id,to_id,row,col,fraction,dem_m
O01,S002,576,804,0.9070852529591985,243.51968383789062
O01,S002,575,804,0.9115787593033103,234.521728515625
O01,S002,574,804,0.9160722656474221,237.8499755859375
O01,S002,574,805,0.9168995169708783,237.21751403808594
O01,S002,573,805,0.9205657719915339,235.23939514160156
O01,S002,572,805,0.9250592783356457,245.94918823242188
O01,S002,572,806,0.9269275231866335,244.16058349609375
O01,S002,571,806,0.9295527846797574,257.60980224609375
O01,S002,570,806,0.9340462910238693,251.0462188720703
O01,S002,570,807,0.9369555294023888,255.70184326171875
O01,S002,569,807,0.938539797367981,245.02957153320312
O01,S002,568,807,0.9430333037120928,229.47682189941406
O01,S002,568,808,0.946983535618144,230.43011474609375
O01,S002,567,808,0.9475268100562045,234.20553588867188
O01,S002,566,808,0.9520203164003164,252.11183166503906
O01,S002,565,808,0.9565138227444282,256.583251953125
O01,S002,565,809,0.9570115418338992,249.54290771484375
O01,S002,564,809,0.9610073290885399,243.50611877441406
O01,S002,563,809,0.9655008354326517,234.04364013671875
O01,S002,563,810,0.9670395480496544,234.0133514404297
O01,S002,562,810,0.9699943417767635,215.4374237060547
O01,S002,561,810,0.9744878481208753,194.57778930664062
O01,S002,561,811,0.9770675542654097,192.91244506835938
O01,S002,560,811,0.978981354464987,198.11402893066406
O01,S002,559,811,0.9834748608090988,203.75294494628906
O01,S002,559,812,0.987095560481165,203.82199096679688
O01,S002,558,812,0.9879683671532107,190.1125946044922
O01,S002,557,812,0.9924618734973224,188.19654846191406
O01,S002,556,812,0.9969553798414342,190.24740600585938
O01,S002,556,813,0.9971235666969201,188.7942352294922
O01,S003,778,713,0.0,128.7255401611328
O01,S003,778,712,0.002536629499811502,126.96179962158203
O01,S003,778,711,0.007017357083941802,128.55950927734375
O01,S003,777,711,0.007571965153213699,129.99810791015625
O01,S003,777,710,0.011498084668072102,129.44732666015625
O01,S003,777,709,0.015978812252202403,128.8667755126953
O01,S003,776,709,0.016317593650808253,127.14604187011719
O01,S003,776,708,0.020459539836332703,132.83932495117188
O01,S003,776,707,0.024940267420463003,144.2466278076172
O01,S003,775,707,0.025063222148402807,145.2404022216797
O01,S003,775,706,0.029420995004593303,148.91098022460938
O01,S003,774,706,0.03380885064599736,155.64010620117188
O01,S003,774,705,0.0339017225887236,161.32106018066406
O01,S003,774,704,0.0383824501728539,157.1849365234375
O01,S003,773,704,0.042554479143591915,166.52967834472656
O01,S003,773,703,0.0428631777569842,165.9195556640625
